"New Zealand Schools Directory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A list of New Zealand schools including contact details, institution and regional information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"^Email addresses are only listed for schools that agreed to have their email publicly released. Persons or organisations wishing to send email material to individuals or organisations whose email addresses appear in this directory must comply with the requirements of the Unsolicited Electronic Messages Act 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Principal names are available for State and State Integrated Schools. Principal names for Private Schools are provided where available.  The most up to date information that we have available has been provided.  Recent changes may not be reflected.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roll data as at 1 November 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional Council: ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Territorial Authority: ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"School Type: ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"School Authority: ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"School Gender: ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neighbourhood (SA2): ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

School Number,School Name,Telephone,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban/Rural,School Type,Definition,Authority,Donations,Gender of Students,KME Peak Body,Takiwā,Territorial Authority,Regional Council,Local Office,Education Region,General Electorate,Māori Electorate,Neighbourhood (SA2 code),Neighbourhood (SA2),Ward,Community of Learning ID,Community of Learning Name,Latitude,Longitude,Enrolment Scheme,Equity Index (EQI),Total School Roll,European / Pākehā,Māori,Pacific,Asian,MELAA,Other,International,Isolation Index,Language of Instruction,Boarding Facilities,Cohort Entry,Status
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Te Kura o Te Kao,09-4097813,office@tekao.school.nz,Hemi Takawe,http://www.tekuraotekao.school.nz,6603 Far North Road ,,Te Kao,6603 Far North Road RD 4,,Kaitaia,0484,Rural other,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,100100,North Cape,Te Hiku General Ward,,,-34.654712,172.965948,No,532,69,2,68,2,1,0,0,0,3.83,All students taught in te reo Māori,No,No,Open
2,Taipa Area School,09-4060159,office@taipa.school.nz,David Lowe,http://www.taipa.school.nz,578 State Highway 10 ,,Taipa,578 State Highway 10,,Taipa,0420,Rural settlement,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,101101,Doubtless Bay,Te Hiku General Ward,99051,Te Kāhui Tai Kura o Te Hiku,-34.994709,173.464302,Yes,532,423,103,350,23,3,5,2,0,2.69,All students taught in English,No,No,Open
3,Kaitaia College,09-4080190,admin@kaitaiacollege.school.nz,Louise Anaru-Tangira,http://www.kaitaiacollege.school.nz/,53 Redan Road ,,Kaitaia,PO Box 265,,Kaitaia,0441,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,100800,Kaitāia West,Te Hiku General Ward,99051,Te Kāhui Tai Kura o Te Hiku,-35.121322,173.258700,No,521,762,353,589,62,24,2,1,0,2.55,All students taught in English,No,No,Open
4,Whangaroa College,09-4050199,office@whc.school.nz,Jack Anderson,http://www.whangaroacollege.school.nz,4157 State Highway 10 ,,Kaeo,PO Box 126,,Kaeo,0448,Rural settlement,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,101900,Kāeo,Bay of Islands-Whangaroa General Ward,99197,Whangaroa Kāhui Ako,-35.100861,173.786950,No,538,123,31,111,12,1,0,0,0,2.13,All students taught in English,No,No,Open
5,Kerikeri High School,09-4078916,enquiries@kerikerihigh.ac.nz,Mike Clent,http://www.kerikerihigh.ac.nz,48 Hone Heke Road ,,Kerikeri,PO Box 92,,Kerikeri,0245,Small urban area,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,103000,Kerikeri Central,Bay of Islands-Whangaroa General Ward,,,-35.228354,173.955389,Yes,461,1598,1169,513,74,82,22,14,68,1.67,All students taught in English,No,No,Open
6,Broadwood Area School,09-4095878,admin@broadwood.school.nz,Danelle Tatana,http://broadwood.school.nz,1041 Broadwood Road ,,Broadwood,PO Box 12,,Broadwood,0462,Rural other,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,101700,Kohukohu-Broadwood,Kaikohe-Hokianga General Ward,99148,Hokianga Community of Learning,-35.261248,173.394990,No,562,137,38,122,17,0,0,0,0,2.61,All students taught in English,No,No,Open
7,Okaihau College,09-4019030,admin@okaihau-college.school.nz,Thomas Davison,http://www.okaihau-college.school.nz,58 Settlers Way ,,Okaihau,58 Settlers Way RD 1,,Okaihau,0475,Rural settlement,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,102300,Ōkaihau,Kaikohe-Hokianga General Ward,99060,Te Arahura Community of Learning,-35.323759,173.765764,Yes,514,307,133,217,26,4,3,4,0,1.83,All students taught in English,No,No,Open
8,Bay of Islands College,09-4041055,info@boic.school.nz,Edith Painting-Davis,http://www.boic.school.nz,1-9 Derrick Road ,,Kawakawa,PO Box 58,,Kawakawa,0243,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,104600,Kawakawa,Bay of Islands-Whangaroa General Ward,99117,Peowhairangi Community of Learning,-35.379502,174.075901,Yes,531,421,112,358,23,7,0,2,0,1.50,All students taught in English,No,No,Open
9,Northland College,09-4013200,admin@northlandcollege.school.nz,Duane Allen,http://www.northlandcollege.school.nz,62 Mangakahia Road ,,Kaikohe,PO Box 261,,Kaikohe,0440,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,103501,Kaikohe,Kaikohe-Hokianga General Ward,99060,Te Arahura Community of Learning,-35.413889,173.809917,No,553,294,47,271,26,5,0,0,0,1.82,All students taught in English,No,No,Open
